LENGTH	M12	M18	M19	SRR1646483	SRR837826
0	294	131	206	1418	24905
1	5	7	1	70	105
2	20	38	8	19	286
3	11	38	6	38	7
4	23	149	71	114	54
5	130	1584	650	303	44
6	319	3207	870	527	53
7	502	4904	846	508	138
8	520	5529	959	923	81
9	604	5303	1152	1131	70
10	928	5859	1810	879	180
11	1029	5530	1677	563	259
12	1513	5442	2016	443	629
13	1933	5644	2693	383	1438
14	2337	6109	2086	710	2313
15	2829	5558	2412	1983	3686
16	2747	4484	2007	4153	3742
17	4146	4972	2074	8214	3284
18	4140	5602	2532	12339	2867
19	5221	5563	3395	11781	3230
20	21201	11460	26503	12643	5180
21	39740	20473	43895	16126	12281
22	83306	41132	63399	37523	24678
23	32268	19334	24765	57014	9387
24	16092	10685	15928	23144	3331
25	1597	2626	1792	14612	2229
26	1101	2296	1224	10633	1167
27	1311	2477	1947	9871	750
28	1758	2328	2847	6872	418
29	2240	2962	3219	4820	170
30	1673	3821	1938	3265	59
31	2165	6724	2880	1657	22
32	3454	9990	4426	999	148
33	5823	11720	6593	593	96
34	1548	4860	3088	212	4070
35	428	2935	1739	69	23557
36	316	3251	2181	50	115086
37	135	1771	1320	17	0
38	72	1435	1168	8	0
39	41	1305	1017	6	0
40	18	1174	932	5	0
41	23	1135	1142	6	0
42	9	893	1013	6	0
43	4	630	1000	3	0
44	1	454	698	4	0
45	2	423	465	5	0
46	3	260	355	1	0
47	8	206	269	1	0
48	40	439	403	111	0
49	548	1025	1012	421	0
50	3824	4123	3371	2804	0
