DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	M12	M18	M19	SRR1646483	SRR837826
0	0	0	0	0	0
1	13	2	1	4	8
2	14	8	5	4	48
3	15	8	8	4	49
4	16	13	8	19	49
5	16	13	8	29	49
6	17	15	8	29	49
7	18	15	8	31	119
8	24	27	8	31	194
9	24	27	13	33	235
10	24	30	13	40	327
11	24	32	14	41	327
12	27	33	16	42	405
13	28	33	16	45	405
14	28	57	18	56	638
15	31	59	22	60	638
16	41	59	31	61	638
17	41	60	32	61	665
18	44	60	32	61	748
19	49	72	35	61	793
20	52	73	35	61	793
21	52	81	35	61	842
22	55	81	35	65	842
23	55	103	35	65	842
24	56	138	35	65	842
25	56	142	43	71	1134
26	56	169	43	71	1134
27	56	169	43	71	1134
28	56	169	44	73	1468
29	59	169	46	73	1468
30	59	169	49	98	1972
31	60	172	52	110	2515
32	61	172	52	114	2515
33	61	180	55	126	2515
34	61	203	58	149	2515
35	76	260	63	149	2515
36	76	301	63	149	2515
37	76	308	67	150	2515
38	78	308	72	152	2515
39	87	308	72	152	2515
40	88	308	74	183	3524
41	100	310	83	183	3524
42	102	310	83	183	3524
43	113	317	83	183	3615
44	116	317	87	183	3615
45	117	323	89	193	3665
46	117	335	93	193	4103
47	117	367	98	212	4250
48	117	367	115	229	4406
49	117	369	154	229	4411
50	117	422	168	229	4797
51	117	422	174	229	4797
52	117	422	174	229	4797
53	117	425	179	229	5488
54	119	457	179	234	5488
55	119	457	179	236	5488
56	120	457	206	236	5550
57	139	475	247	242	5550
58	148	508	254	255	5869
59	149	584	254	255	5869
60	170	642	294	270	5881
61	173	654	294	277	5881
62	173	654	294	301	6287
63	178	654	298	305	6287
64	183	654	312	312	7089
65	185	685	337	339	7197
66	211	727	338	339	7365
67	223	727	357	340	7430
68	265	727	395	377	7430
69	281	765	395	382	7703
70	295	765	406	401	7774
71	300	794	406	401	7774
72	314	797	406	412	7885
73	314	841	406	425	8263
74	335	841	432	436	8574
75	344	899	443	438	8644
76	353	899	448	441	9167
77	353	899	455	443	9212
78	356	899	455	448	9695
79	356	899	455	451	10933
80	365	899	460	452	11840
81	392	899	496	490	12352
82	414	899	527	516	12406
83	461	899	535	532	12406
84	474	905	562	578	12522
85	474	924	599	622	13159
