PHRED_SCORE	M12	M18	M19	SRR1646483	SRR837826
0	0	0	0	0	1415483
1	0	0	0	0	174394
2	54249	59836	28822	17132	173310
3	0	0	0	0	169696
4	0	0	0	0	170164
5	108	740	132	98	168468
6	382	3551	1062	757	165159
7	2201	12872	4013	1393	162651
8	7452	31425	17646	4622	159128
9	4859	13886	10769	1773	155105
10	6419	19109	18522	2423	152330
11	1867	4605	4656	822	149983
12	821	2813	825	1005	146002
13	1634	5248	1831	1375	142671
14	838	4085	1870	1048	139785
15	6839	16639	9710	4821	136194
16	7096	24810	15419	4637	132750
17	6480	13648	10209	2610	128519
18	11368	26187	19906	5658	126577
19	5422	14273	13602	2835	123003
20	1632	8172	2069	2734	117876
21	3075	20716	8445	5771	115479
22	4911	20156	9450	5000	111662
23	10051	50111	26848	12571	107840
24	12313	37714	31968	9584	104746
25	15761	56419	40001	17431	101198
26	13944	71330	42751	20251	98300
27	24721	90749	75694	23321	95266
28	14700	60781	35139	18985	92592
29	12692	53666	40789	17089	89974
30	57042	232343	165369	71573	86790
31	102394	408850	316686	186845	84343
32	44284	179028	129101	67290	82442
33	135286	336951	254697	164291	79951
34	680222	630573	603535	654100	77252
35	236668	733255	527905	492779	75411
36	114677	347686	288292	216824	73097
37	1301337	1472738	1388843	1407703	71079
38	427092	960283	858123	561071	69033
39	1568912	1685011	1578846	1627357	66739
40	1450382	1849377	1928625	1513911	2907558
41	6149869	2940364	3987830	5350510	0
42	0	0	0	0	0
