miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Let-7-P10_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P10_5p/7-P5_5p,10519.0,23771.0,7579.0,7241.0,10384.0,9879.0,6233.0,8198.0,5225.0,6736.0,10311.0,4533.0,5679.0,7302.0,13661.0,3063.0,8964.0,5366.0
Hsa-Let-7-P11_3p*,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P11_5p,3209.0,6490.0,2545.0,2063.0,2276.0,2218.0,2976.0,3454.0,1911.0,2811.0,3384.0,1933.0,1255.0,2001.0,2673.0,1162.0,2972.0,1365.0
Hsa-Let-7-P12_3p*,44.0,5.0,3.0,11.0,5.0,23.0,28.0,14.0,10.0,7.0,6.0,0.0,5.0,7.0,17.0,14.0,16.0,13.0
Hsa-Let-7-P12_5p,3648.0,2060.0,833.0,2088.0,1501.0,3469.0,1849.0,1825.0,1076.0,754.0,972.0,412.0,1126.0,1486.0,2561.0,1008.0,2128.0,1625.0
Hsa-Let-7-P1_3p*,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,13733.0,24461.0,16437.0,8161.0,7941.0,8154.0,10321.0,14108.0,9678.0,16752.0,15292.0,13686.0,11135.0,17695.0,15833.0,3763.0,14230.0,8105.0
Hsa-Let-7-P2_3p*,8.0,0.0,8.0,5.0,3.0,0.0,0.0,4.0,6.0,7.0,3.0,4.0,4.0,11.0,7.0,0.0,0.0,5.0
Hsa-Let-7-P2_5p,1000.0,1204.0,969.0,299.0,161.0,324.0,453.0,420.0,512.0,756.0,317.0,581.0,797.0,960.0,483.0,171.0,396.0,434.0
Hsa-Let-7-P3_3p*,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P4_3p*,64.0,172.0,309.0,47.0,53.0,39.0,99.0,94.0,64.0,130.0,45.0,77.0,173.0,146.0,70.0,44.0,79.0,63.0
Hsa-Let-7-P4_5p,435.0,879.0,855.0,230.0,393.0,242.0,412.0,533.0,333.0,369.0,309.0,317.0,378.0,586.0,473.0,168.0,615.0,261.0
Hsa-Let-7-P5_3p*,17.0,0.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
Hsa-Let-7-P6_3p*/7-P7_3p*,81.0,8.0,4.0,43.0,48.0,63.0,3.0,7.0,26.0,4.0,3.0,2.0,0.0,3.0,48.0,25.0,21.0,15.0
Hsa-Let-7-P8_3p*,58.0,47.0,67.0,23.0,24.0,0.0,31.0,30.0,32.0,91.0,60.0,95.0,39.0,27.0,38.0,13.0,32.0,38.0
Hsa-Let-7-P8_5p,2660.0,4648.0,4286.0,1495.0,827.0,1549.0,3871.0,4916.0,2737.0,3585.0,2056.0,4166.0,4907.0,5259.0,2382.0,813.0,3096.0,1184.0
Hsa-Let-7-P9_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
