miRNA,mLi_1,mLi_2,mLi_3,mLu_1,mLu_2,mLu_3,nCR_1,nCR_2,nCR_3,nLi_1,nLi_2,nLi_3,nLu_1,nLu_2,nLu_3,pCRC_1,pCRC_2,pCRC_3
Hsa-Let-7-P10_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P10_5p/7-P5_5p,17333.8299,33817.2155,15500.3088,15786.7771,24304.1577,18584.9548,15706.0675,12079.4729,10287.1543,12958.7555,16535.99,12253.9346,22621.8028,17693.3683,25701.5676,12843.1442,19281.2756,11912.3732
Hsa-Let-7-P11_3p*,0.0,0.0,0.0,0.0,0.0,22.5751,5.0396,0.0,0.0,0.0,0.0,0.0,7.9668,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P11_5p,5287.9799,9232.8353,5204.946,4497.738,5327.0669,4172.6318,7498.9984,5089.351,3762.4406,5407.818,5426.9993,5225.4259,4999.1834,4848.5935,5028.9357,4872.2604,6392.6764,3030.2627
Hsa-Let-7-P12_3p*,72.5058,7.1131,6.1355,23.9821,11.7027,43.269,70.5551,20.6285,19.6883,13.4666,9.6223,0.0,19.9171,16.9616,31.9835,58.7019,34.4155,28.8596
Hsa-Let-7-P12_5p,6011.39,2930.6072,1703.6228,4552.2429,3513.1491,6526.0865,4659.1559,2689.0751,2118.4647,1450.5495,1558.819,1113.7483,4485.3231,3600.7046,4818.2208,4226.5391,4577.2595,3607.4556
Hsa-Let-7-P1_3p*,0.0,0.0,0.0,6.5406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1_5p/7-P3_5p/7-P6_5p/7-P7_5p,22630.049,34798.8266,33616.3842,17792.5546,18586.2208,15339.7835,26007.1109,20787.6559,19054.3693,32227.5939,24524.1352,36996.9886,44355.3045,42876.4929,29787.9306,15778.2409,30608.2722,17992.8783
Hsa-Let-7-P2_3p*,13.1829,0.0,16.3613,10.901,7.0216,0.0,0.0,5.8939,11.813,13.4666,4.8112,10.8131,15.9337,26.6539,13.1697,0.0,0.0,11.0999
Hsa-Let-7-P2_5p,1647.8591,1712.8403,1981.7653,651.8777,376.8268,609.5278,1141.4806,618.8556,1008.0427,1454.3971,508.3803,1570.6014,3174.7802,2326.1618,908.7078,717.0022,851.7833,963.4681
Hsa-Let-7-P3_3p*,8.2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8476,9.6223,0.0,0.0,4.8462,0.0,0.0,0.0,0.0
Hsa-Let-7-P4_3p*,105.463,244.6915,631.9561,102.4691,124.0486,73.3691,249.4626,138.5058,126.0053,250.0947,72.1675,208.152,689.1305,353.7704,131.6968,184.4918,169.9265,139.8583
Hsa-Let-7-P4_5p,716.8187,1250.4872,1748.6164,501.4444,919.8319,455.2646,1038.1678,785.3573,655.6215,709.8843,495.5505,856.9374,1505.7301,1419.9279,889.894,704.4232,1322.8452,579.4129
Hsa-Let-7-P5_3p*,28.0136,0.0,0.0,0.0,0.0,16.9313,0.0,14.7347,0.0,0.0,11.2261,0.0,0.0,0.0,16.9324,0.0,0.0,19.9798
Hsa-Let-7-P6_3p*/7-P7_3p*,133.4766,11.381,8.1807,93.7483,112.3459,118.5193,7.5595,10.3143,51.1897,7.6952,4.8112,5.4065,0.0,7.2693,90.3064,104.8249,45.1703,33.2996
Hsa-Let-7-P8_3p*,95.5758,66.8634,137.0261,50.1444,56.1729,0.0,78.1146,44.204,63.0027,175.0663,96.2234,256.8109,155.3531,65.4233,71.4925,54.5089,68.831,84.359
Hsa-Let-7-P8_5p,4383.3052,6612.3603,8765.579,3259.3885,1935.6258,2914.0697,9754.2415,7243.558,5388.6969,6896.8436,3297.2549,11261.8336,19546.6079,12743.0052,4481.4533,3408.9051,6659.3964,2628.4476
Hsa-Let-7-P9_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P9_5p,1314.9916,916.1704,1036.8989,1406.2245,3473.36,2300.7794,1413.6217,1162.5645,763.9073,563.6751,647.9042,424.4138,772.7821,799.6181,1508.8688,981.1609,1585.2633,992.3278
Hsa-Mir-1-P1_3p/1-P2_3p,0.0,2.8452,0.0,0.0,0.0,3.7625,10.0793,8.8408,61.0338,0.0,0.0,0.0,11.9502,4.8462,9.4069,0.0,0.0,15.5398
Hsa-Mir-1-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p*/10-P1a-v2_3p*,135.1244,34.143,278.1425,71.9464,9.3622,58.319,27.7181,48.6244,43.3143,26.9333,16.0372,18.9229,15.9337,26.6539,31.9835,33.544,58.0761,24.4197
Hsa-Mir-10-P1a-v1_5p/10-P1a-v2_5p,137199.1009,49150.2662,292732.7091,128616.1225,28573.301,127391.315,104245.1487,101570.4199,88471.4962,41671.5563,32775.2911,26581.2793,54218.2353,96174.6754,59494.9617,56060.3456,79181.4277,58733.8164
Hsa-Mir-10-P1b-v1_3p*/10-P1b-v2_3p*,4.9436,2.8452,0.0,0.0,11.7027,0.0,0.0,11.7877,9.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4529,0.0
Hsa-Mir-10-P1b-v1_5p/10-P1b-v2_5p,16984.4838,15520.8372,12657.5289,16839.8103,50014.9795,9995.1275,66505.7339,111743.228,49508.2839,3761.0402,5327.5685,2992.5227,11069.9049,10431.3819,5732.5728,15480.5382,17160.4213,19267.1426
Hsa-Mir-10-P2a_3p*,13.1829,7.1131,0.0,17.4415,7.0216,22.5751,0.0,2.9469,0.0,9.619,11.2261,0.0,0.0,0.0,13.1697,0.0,0.0,0.0
Hsa-Mir-10-P2a_5p,1842.3065,956.0039,1139.1571,1220.9081,940.8967,1610.3575,944.9343,807.4593,1177.3624,2475.938,1865.1301,1949.0595,2680.837,4780.7471,3034.6701,457.0365,563.5536,521.6936
Hsa-Mir-10-P2b_3p*,23.07,12.8036,6.1355,8.7208,16.3838,11.2876,0.0,2.9469,0.0,59.638,75.375,29.736,19.9171,19.3847,37.6277,0.0,0.0,6.6599
Hsa-Mir-10-P2b_5p,257.066,256.0725,143.1616,102.4691,337.0376,257.7324,95.7533,91.3549,232.3223,1365.9021,962.2339,1040.7599,529.7939,671.1946,551.2451,29.351,105.3974,82.139
Hsa-Mir-10-P2c_3p*,60.9708,9.9584,18.4065,21.8019,11.7027,20.6938,22.6784,10.3143,21.6572,11.5428,0.0,0.0,0.0,99.3465,48.9159,16.772,23.6606,13.3198
Hsa-Mir-10-P2c_5p,3503.3484,776.7532,2208.7787,1199.1061,1060.2642,2357.2172,2300.6,1365.9028,2577.2029,2198.91,660.734,1784.1599,7998.6934,11211.6153,3508.7785,1488.5133,1669.151,1118.8662
Hsa-Mir-10-P3a_3p*,18.1265,8.5357,14.3162,21.8019,0.0,11.2876,0.0,8.8408,0.0,11.5428,6.4149,0.0,63.7346,33.9232,39.509,50.3159,15.0568,17.7598
Hsa-Mir-10-P3a_5p,4602.4705,2788.3447,4720.2418,1452.0085,1043.8804,1755.2144,4969.0943,2725.9118,3512.3987,7439.3568,2320.5875,5941.7931,15658.7968,16389.7484,5134.2931,2574.499,2465.0091,2095.6542
Hsa-Mir-10-P3b_3p*,82.393,38.4109,63.4001,32.7029,25.7459,62.0815,20.1586,19.1551,43.3143,38.4761,14.4335,37.8458,111.5356,72.6926,39.509,25.158,34.4155,48.8394
Hsa-Mir-10-P3b_5p/10-P3c_5p,1359.4838,1698.6141,1793.6101,549.4086,348.7403,677.2531,1370.7846,887.0264,1728.6357,6525.5491,3452.8161,5755.2673,2951.7091,3409.2809,1000.8955,557.6684,690.4607,1005.6476
Hsa-Mir-10-P3c_3p*,103.8151,204.858,116.5744,52.3246,184.9026,84.6566,55.4361,51.5713,70.878,894.5697,801.8616,762.3229,450.1257,327.1165,180.6127,8.386,60.2271,68.8192
Hsa-Mir-101-P1-v1_3p/101-P1-v2_3p/101-P2-v1_3p/101-P2-v2_3p,4782.0871,5609.4098,955.0923,4552.2429,4280.846,6956.8947,2285.481,1760.7917,2338.974,6860.2913,14943.4928,4787.4957,4098.932,3370.5115,14089.6742,2838.6577,1832.6246,2564.0684
Hsa-Mir-101-P1-v1_5p*/101-P1-v2_5p*,24.7179,15.6489,0.0,10.901,4.6811,5.6438,0.0,0.0,3.9377,15.3904,22.4521,0.0,11.9502,0.0,26.3394,12.579,0.0,0.0
Hsa-Mir-101-P2-v1_5p*/101-P2-v2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8476,3.2074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-103-P1_3p/103-P2_3p/103-P3_3p,3369.8719,2166.6577,5033.1521,4606.7477,3084.8305,5559.1195,3928.4067,3088.3844,1768.0124,4874.9238,2987.7363,3808.9111,3107.0622,4109.5525,4778.7118,3815.6256,5054.7744,2735.0063
Hsa-Mir-103-P1_5p*/103-P2_5p*,4.9436,0.0,0.0,0.0,0.0,3.7625,0.0,4.4204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-103-P3_5p*,4.9436,0.0,0.0,0.0,0.0,0.0,5.0396,0.0,0.0,3.8476,0.0,0.0,0.0,0.0,0.0,0.0,8.6039,0.0
Hsa-Mir-105-P1_3p*/105-P2_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-105-P1_5p/105-P2_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1179_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1179_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7628,0.0,0.0,0.0
Hsa-Mir-1180_3p,14.8307,11.381,20.4517,0.0,14.0432,5.6438,27.7181,11.7877,19.6883,19.2381,0.0,18.9229,59.7512,29.077,13.1697,12.579,30.1135,13.3198
Hsa-Mir-1180_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-122_3p*,88.9844,14.2262,22.4968,0.0,0.0,0.0,0.0,0.0,0.0,2300.8717,2581.9944,1270.5381,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-122_5p,2328.4249,2617.6297,1317.0865,0.0,0.0,0.0,249.4626,110.5099,94.504,154785.563,144171.5086,239596.4555,0.0,0.0,0.0,251.5797,221.5497,153.1781
Hsa-Mir-124-P1-v1_3p/124-P1-v2_3p/124-P2-v1_3p/124-P2-v2_3p/124-P3-v1_3p/124-P3-v2_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-124-P1-v1_5p*/124-P1-v2_5p*/124-P2-v1_5p*/124-P2-v2_5p*/124-P3-v1_5p*/124-P3-v2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1245_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1245_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1247_3p*,9.8872,18.4941,59.3098,17.4415,14.0432,7.525,7.5595,19.1551,0.0,0.0,0.0,0.0,19.9171,12.1154,5.6441,0.0,0.0,6.6599
