miRNA,115N_RPI22_CGTACG_S50_L006_R1_001,115T_RPI33_CAGGCG_S49_L006_R1_001,138N3_RPI23_GAGTGG_S52_L006_R1_001,154N3_RPI24_GGTAGC_S54_L006_R1_001,189b_RPI36_CCAACA_S53_L006_R1_001,COMET-0003M1-1_RPI25_ACTGAT_S31_L006_R1_001,COMET-0003NLi1_RPI13_AGTCAA_S32_L006_R1_001,COMET-0011M1-1_RPI26_ATGAGC_S33_L006_R1_001,COMET-0011NLi_RPI14_AGTTCC_S34_L006_R1_001,COMET-0014M1-1_RPI27_ATTCCT_S35_L006_R1_001,COMET-0014NLi1_RPI15_ATGTCA_S36_L006_R1_001,COMET-0016M1-1_RPI28_CAAAAG_S37_L006_R1_001,COMET-0016NLi1_RPI16_CCGTCC_S38_L006_R1_001,COMET-0026M1-1_RPI29_CAACTA_S39_L006_R1_001,COMET-0026NLi1_RPI17_GTAGAG_S40_L006_R1_001,COMET-0027M3-1_RPI30_CACCGG_S41_L006_R1_001,COMET-0027NLi1_RPI18_GTCCGC_S42_L006_R1_001,COMET-0028M1-1_RPI31_CACGAT_S43_L006_R1_001,COMET-0028NLi1_RPI19_GTGAAA_S44_L006_R1_001,COMET-0035M1-1_RPI32_CACTCA_S45_L006_R1_001,COMET-0035NLi1_RPI20_GTGGCC_S46_L006_R1_001,COMET-0059M1-1_RPI34_CATGGC_S47_L006_R1_001,COMET-0059NLi1_RPI21_GTTTCG_S48_L006_R1_001,GCF0196-0001Me_RPI1__ATCACG__S1_R1_001,GCF0196-0002Me_RPI2__CGATGT__S4_R1_001,GCF0196-0004Me_RPI6__GCCAAT__S16_R1_001,GCF0196-000PC1_RPI18__GTCCGC__S6_R1_001,GCF0196-000PC4_RPI19__GTGAAA__S9_R1_001,GCF0196-001NLU_RPI8__ACTTGA__S22_R1_001,GCF0196-0020Me_RPI7__CAGATC__S19_R1_001,GCF0196-0029Me_RPI3__TTAGGC__S7_R1_001,GCF0196-002NLU_RPI9__GATCAG__S2_R1_001,GCF0196-004NLU_RPI13__AGTCAA__S14_R1_001,GCF0196-0056Me_RPI4__TGACCA__S10_R1_001,GCF0196-00PC83_RPI15__ATGTCA__S20_R1_001,GCF0196-020NLU_RPI14__AGTTCC__S17_R1_001,GCF0196-029NLU_RPI10__TAGCTT__S5_R1_001,GCF0196-056NLU_RPI11__GGCTAC__S8_R1_001,GCF0196-0701Me_RPI5__ACAGTG__S13_R1_001,GCF0196-0PC031_RPI20__GTGGCC__S12_R1_001,GCF0196-0PC084_RPI21__GTTTCG__S15_R1_001,GCF0196-0PC095_RPI22__CGTACG__S18_R1_001,GCF0196-0PC104_RPI16__CCGTCC__S23_R1_001,GCF0196-0PC137_RPI24__GGTAGC__S24_R1_001,GCF0196-0PC146_RPI17__GTAGAG__S3_R1_001,GCF0196-701NLU_RPI12__CTTGTA__S11_R1_001,GCF0196-PCB752_RPI23__GAGTGG__S21_R1_001,LARC-EX_138T_RPI35_CATTTT_S51_L006_R1_001
Hsa-Let-7-P1a_3p*,0.0,0.0,0.0,8.0,0.0,25.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,3.0,2.0,6.0,3.0,0.0,2.0,0.0,9.0,4.0,7.0,8.0,0.0,11.0,12.0,3.0,11.0,12.0,15.0,21.0,15.0,13.0,10.0,5.0,11.0,4.0,6.0,0.0,8.0,7.0,13.0,0.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,78843.0,63791.0,127008.0,166781.0,98550.0,251511.0,49827.0,92191.0,75381.0,76278.0,23339.0,62991.0,33616.0,220425.0,22937.0,181323.0,40915.0,141893.0,54844.0,112614.0,41403.0,171397.0,37088.0,47071.0,116825.0,140293.0,169177.0,165984.0,42770.0,142228.0,171125.0,108982.0,432073.0,169929.0,334564.0,471466.0,454849.0,362523.0,243135.0,161833.0,147103.0,154177.0,124918.0,59086.0,113546.0,368177.0,181231.0,118986.0
Hsa-Let-7-P1b_3p*,20.0,42.0,48.0,115.0,23.0,203.0,23.0,18.0,29.0,32.0,7.0,23.0,8.0,53.0,0.0,79.0,8.0,38.0,5.0,26.0,6.0,38.0,9.0,70.0,52.0,51.0,132.0,221.0,15.0,66.0,62.0,71.0,167.0,126.0,290.0,150.0,165.0,193.0,103.0,90.0,94.0,79.0,61.0,135.0,55.0,132.0,298.0,27.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,3322.0,2692.0,3582.0,9191.0,4992.0,19161.0,2514.0,4629.0,1832.0,4299.0,1207.0,4476.0,1321.0,7721.0,865.0,8762.0,1291.0,3975.0,1600.0,2896.0,830.0,5378.0,1060.0,6239.0,3626.0,3009.0,9540.0,12911.0,3300.0,5360.0,4600.0,6196.0,12984.0,7952.0,15762.0,12475.0,11986.0,12276.0,7379.0,5933.0,7969.0,7037.0,6447.0,9682.0,4881.0,9533.0,12099.0,3019.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,0.0,0.0,2.0,10.0,0.0,35.0,10.0,6.0,38.0,4.0,2.0,0.0,5.0,5.0,5.0,12.0,6.0,0.0,7.0,3.0,6.0,6.0,3.0,0.0,2.0,34.0,17.0,38.0,2.0,15.0,26.0,3.0,20.0,13.0,153.0,40.0,28.0,25.0,25.0,32.0,20.0,29.0,12.0,0.0,0.0,33.0,7.0,0.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
