miRNA,SRR5896100,SRR5914587,SRR5914588,SRR5914589,SRR5914590,SRR5914591,SRR5914592,SRR5914593,SRR5914594,SRR5914595,SRR5914596,SRR5914597,SRR5914598,SRR5914599,SRR5914600,SRR5914601,SRR5914602,SRR5914603,SRR5914604,SRR5914605,SRR5914606,SRR5914607,SRR5914608,SRR5914609,SRR5914610,SRR5914611,SRR5914612,SRR5914613,SRR5914614,SRR5914615,SRR5914616,SRR5914617,SRR5914618,SRR5914619,SRR5914620,SRR5914621,SRR5914622,SRR5914623,SRR5914624,SRR5914625,SRR5914626,SRR5914627,SRR5914628,SRR5914629,SRR5914630,SRR5914631,SRR5914632,SRR5914633,SRR5914634,SRR5914635,SRR5914636,SRR5914637,SRR5914638,SRR5914639,SRR5914640,SRR5914641,SRR5914642,SRR5914643,SRR5914644,SRR5914645,SRR5914646,SRR5914647,SRR5914648,SRR5914649,SRR5914650,SRR5914652,SRR5914653,SRR5914654,SRR5914655,SRR5914656,SRR5914657,SRR5914658,SRR5914659,SRR5914660,SRR5914661,SRR5914662,SRR5914663,SRR5914664,SRR5914665,SRR5914666,SRR5914667,SRR5914668,SRR5914669,SRR5914670,SRR5914671,SRR5914672,SRR5914673
Hsa-Let-7-P1a_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,71540.0,28049.0,86489.0,23022.0,102818.0,63738.0,0.0,34555.0,65205.0,26515.0,62925.0,28614.0,20625.0,30533.0,42450.0,48356.0,98818.0,61570.0,57634.0,59648.0,57485.0,28399.0,76733.0,77446.0,60255.0,70387.0,58424.0,52339.0,71606.0,54147.0,30808.0,134408.0,82200.0,61785.0,26255.0,31950.0,66216.0,56108.0,67993.0,119566.0,96807.0,35104.0,23415.0,25477.0,38232.0,60410.0,79794.0,76022.0,16477.0,136738.0,64987.0,38216.0,40082.0,52658.0,105410.0,27271.0,35450.0,47239.0,62138.0,53346.0,71717.0,93363.0,68036.0,91909.0,112218.0,24388.0,63057.0,55199.0,56411.0,44072.0,84030.0,73080.0,69051.0,59317.0,51520.0,59172.0,42303.0,34218.0,33576.0,66748.0,49946.0,85791.0,87822.0,46999.0,48206.0,59338.0,19245.0
Hsa-Let-7-P1b_3p*,0.0,0.0,9.0,5.0,25.0,28.0,0.0,6.0,10.0,0.0,18.0,14.0,4.0,0.0,10.0,16.0,22.0,20.0,7.0,0.0,28.0,12.0,14.0,40.0,6.0,13.0,21.0,23.0,22.0,7.0,7.0,45.0,23.0,18.0,5.0,3.0,7.0,16.0,6.0,56.0,14.0,4.0,0.0,0.0,20.0,8.0,14.0,19.0,4.0,23.0,4.0,7.0,21.0,17.0,40.0,3.0,9.0,10.0,12.0,10.0,3.0,17.0,22.0,27.0,27.0,5.0,17.0,7.0,22.0,4.0,12.0,13.0,13.0,11.0,12.0,9.0,10.0,28.0,12.0,50.0,10.0,30.0,27.0,6.0,7.0,12.0,5.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,1169.0,830.0,1858.0,503.0,6407.0,2974.0,0.0,917.0,2266.0,698.0,2215.0,3163.0,1134.0,695.0,1157.0,2420.0,3848.0,2215.0,1653.0,830.0,2989.0,1435.0,2660.0,3538.0,1297.0,2169.0,2513.0,2030.0,4153.0,1424.0,821.0,6969.0,4421.0,2630.0,672.0,390.0,1366.0,2469.0,1086.0,7236.0,3552.0,915.0,706.0,447.0,2399.0,2671.0,2475.0,4505.0,1501.0,4585.0,709.0,1305.0,2115.0,1525.0,7035.0,674.0,1417.0,1818.0,2296.0,1931.0,747.0,3888.0,2269.0,4837.0,4047.0,1055.0,2363.0,1143.0,2449.0,1043.0,2038.0,1610.0,2617.0,1731.0,1464.0,1902.0,1771.0,1280.0,1604.0,4433.0,1178.0,4153.0,5331.0,1143.0,921.0,2780.0,979.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,5.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,3.0,3.0,2.0,0.0,2.0,0.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
