miRNA,COMET-0122M2_S39_R1_001,COMET-0128M1_S30_R1_001,COMET-0138M1_S31_R1_001,COMET-0145M1_S32_R1_001,COMET-0182M1_S33_R1_001,COMET-0186M1_S34_R1_001,COMET-0190M1_S35_R1_001,COMET-0227M1_S36_R1_001,COMET-0242M1_S37_R1_001,COMET-0243M1_S40_R1_001,COMET-0252M1_S38_R1_001,Lme-0003M1-1_S13_R1_001,Lme-0009M1-1_S14_R1_001,Lme-0012M1-1_S17_R1_001,Lme-0013M1-1_S18_R1_001,Lme-0017M1-1_S15_R1_001,Lme-0026M1-1_S16_R1_001,Lme-0027M1-1_S1_R1_001,Lme-0033M1-2_S2_R1_001,Lme-0035M1-2_S3_R1_001,Lme-0042M1-2_S4_R1_001,Lme-0043M1-2_S5_R1_001,Lme-0047M1-2_S6_R1_001,Lme-0052M1-1_S7_R1_001,Lme-0063M1-2_S8_R1_001,Lme-0066M1-1_S9_R1_001,Lme-0072M1-2_S10_R1_001,Lme-0078M1-2_S11_R1_001,Lme-0081M1-1_S12_R1_001,PC-0031M1-1_S22_R1_001,PC-0048M1-1_S19_R1_001,PC-0083M1-1_S26_R1_001,PC-0108M1-1_S23_R1_001,PC-0160M1-1_S24_R1_001,PC-0161M1-1_S21_R1_001,PC-0284M1-1_S25_R1_001,PC-0301M1-3_S27_R1_001,PC-0714M1-1_S28_R1_001,PCB-0049M1-1_S20_R1_001,PCB-0234M1-1_S29_R1_001
Hsa-Let-7-P1a_3p*,0.0,5.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,4.0,3.0,6.0,15.0,6.0,9.0,11.0,8.0,3.0,0.0,5.0,3.0,3.0,0.0,0.0,3.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,112880.0,97878.0,84180.0,150203.0,137119.0,262275.0,106766.0,51950.0,197156.0,89018.0,188717.0,153651.0,26800.0,68186.0,88420.0,148210.0,133612.0,145189.0,145772.0,145981.0,129617.0,187163.0,88221.0,87795.0,223272.0,121399.0,127989.0,332014.0,163408.0,60928.0,43750.0,143656.0,117338.0,115249.0,72760.0,89764.0,50568.0,97258.0,111437.0,65743.0
Hsa-Let-7-P1b_3p*,9.0,51.0,16.0,58.0,34.0,53.0,30.0,17.0,101.0,19.0,45.0,73.0,14.0,59.0,53.0,32.0,111.0,23.0,90.0,132.0,56.0,47.0,47.0,94.0,57.0,39.0,76.0,156.0,62.0,16.0,3.0,156.0,40.0,97.0,13.0,61.0,24.0,14.0,62.0,47.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,1608.0,3573.0,1680.0,4208.0,2266.0,9268.0,2696.0,1233.0,10466.0,2079.0,2449.0,4257.0,880.0,2752.0,2177.0,2447.0,6684.0,2059.0,4436.0,4600.0,2141.0,3550.0,3159.0,2685.0,3004.0,3650.0,4255.0,8153.0,3757.0,1351.0,373.0,6261.0,4435.0,4914.0,1269.0,4218.0,1593.0,657.0,4088.0,2629.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,0.0,7.0,2.0,18.0,9.0,12.0,6.0,9.0,5.0,13.0,14.0,2.0,0.0,6.0,10.0,7.0,0.0,8.0,13.0,22.0,18.0,12.0,9.0,31.0,7.0,0.0,20.0,7.0,12.0,0.0,0.0,80.0,7.0,15.0,5.0,9.0,0.0,8.0,9.0,5.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
