miRNA,P3,P30,P31,P32,P35,P36,P37,P38,P39,P4,P40,P5,P7,P8,P9,PN1,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6
Hsa-Let-7-P1a_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,74172.0,203677.0,98853.0,97594.0,109341.0,135410.0,172159.0,156362.0,61525.0,85576.0,67069.0,100722.0,197238.0,122378.0,86238.0,179290.0,180957.0,45471.0,52645.0,106070.0,164618.0,38588.0,50899.0,101792.0,69376.0,38761.0,123718.0,130602.0,122089.0,186292.0,90749.0,247682.0,92222.0,169784.0,182686.0,72421.0,151912.0
Hsa-Let-7-P1b_3p*,41.0,60.0,13.0,18.0,55.0,27.0,33.0,30.0,37.0,26.0,7.0,13.0,70.0,0.0,11.0,52.0,64.0,21.0,16.0,60.0,18.0,18.0,28.0,54.0,61.0,11.0,64.0,28.0,5.0,17.0,5.0,16.0,12.0,19.0,62.0,20.0,26.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,4126.0,10183.0,5202.0,3734.0,7024.0,12633.0,7422.0,8888.0,11573.0,2651.0,1844.0,1512.0,12353.0,815.0,2262.0,6179.0,7888.0,1334.0,2044.0,4355.0,5134.0,1109.0,2809.0,7680.0,5620.0,1130.0,8854.0,3352.0,3865.0,4461.0,2343.0,6445.0,2320.0,5323.0,6194.0,1974.0,4450.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,0.0,4.0,3.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,4.0,7.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_5p,6599.0,7159.0,2722.0,3784.0,1978.0,2103.0,8029.0,8117.0,2233.0,1964.0,173.0,528.0,10334.0,303.0,2147.0,3459.0,5268.0,464.0,1220.0,3327.0,1263.0,1052.0,1700.0,4025.0,3026.0,546.0,4333.0,1273.0,1313.0,770.0,519.0,1478.0,697.0,729.0,9078.0,575.0,1831.0
