miRNA,M6_2,M7,M9,MN1,MN12_1,MN12_2,MN15,MN16,MN18,MN19,MN21,MN28,MN32,MN34,MN5,MN6,P1,P10,P12,P13,P14,P15_1,P15_2,P16,P18,P19,P20,P22,P23,P24,P25,P26,P27,P28,P29
Hsa-Let-7-P1a_3p*,4.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,265647.0,81517.0,38108.0,245349.0,71833.0,107226.0,43109.0,134637.0,94978.0,104483.0,83110.0,117236.0,183481.0,85449.0,145985.0,57825.0,145747.0,344844.0,70589.0,119500.0,85212.0,212493.0,149012.0,40038.0,19383.0,154140.0,50415.0,58672.0,142051.0,98535.0,175424.0,93470.0,139408.0,68792.0,177275.0
Hsa-Let-7-P1b_3p*,59.0,24.0,8.0,57.0,57.0,75.0,14.0,114.0,25.0,30.0,20.0,40.0,48.0,25.0,56.0,7.0,23.0,21.0,15.0,19.0,8.0,34.0,10.0,17.0,13.0,20.0,29.0,35.0,58.0,11.0,35.0,48.0,32.0,36.0,31.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,10435.0,3479.0,1240.0,6948.0,2728.0,3371.0,1242.0,8561.0,2466.0,3365.0,2749.0,3094.0,5173.0,2965.0,5230.0,1367.0,4706.0,9374.0,1983.0,2007.0,2350.0,12390.0,4949.0,1648.0,865.0,4270.0,2144.0,2970.0,8093.0,1938.0,5482.0,5749.0,6046.0,4811.0,7696.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,5.0,0.0,4.0,15.0,17.0,10.0,11.0,34.0,21.0,23.0,15.0,27.0,8.0,11.0,31.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,10.0,0.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
