miRNA,SRR1273998,SRR1273999,SRR1274000,SRR1274001
Hsa-Let-7-P1a_3p*,4.0,3.0,3.0,0.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,79485.0,111875.0,48237.0,66525.0
Hsa-Let-7-P1b_3p*,18.0,21.0,25.0,7.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,2099.0,2133.0,821.0,894.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,18.0,17.0,11.0,8.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_5p,18311.0,20531.0,11491.0,12875.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,50.0,57.0,44.0,33.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,98.0,42.0,36.0,24.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,55987.0,57611.0,29456.0,39877.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,18.0,10.0,17.0,0.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,16929.0,15498.0,9417.0,9567.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,134.0,72.0,58.0,27.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,13813.0,14900.0,5962.0,7499.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,21.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,4257.0,4223.0,2911.0,2846.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,332.0,274.0,180.0,125.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,1327.0,2009.0,526.0,989.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,64.0,68.0,49.0,25.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,11663.0,8825.0,7906.0,4902.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,47.0,35.0,30.0,14.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,32994.0,30250.0,16472.0,18653.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p/P2_3p,9.0,7.0,5.0,3.0
Hsa-Mir-1-P1_5p* chr20 segs:1-31 cds:+:62554310-62554340,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_3p chr18 segs:1-30 cds:-:21829009-21829038,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p* chr18 segs:1-30 cds:-:21829048-21829077,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p chr6 segs:1-30 cds:+:52144399-52144428,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p* chr6 segs:1-31 cds:+:52144361-52144391,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p* chr17 segs:1-29 cds:-:48579858-48579886,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_5p chr17 segs:1-30 cds:-:48579899-48579928,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_3p* chr17 segs:1-29 cds:-:48579859-48579887,0.0,0.0,0.0,0.0
