miRNA,M1,M10,M11_2,M12_1,M12_2,M13,M13_2,M14_1,M14_2,M16,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M34,M35_1,M35_2,M38,M39_1,M39_2,M4,M40,M5,M6
Hsa-Let-7-P1a_3p*,0.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Hsa-Let-7-P1a_3p* chr11 segs:1-30 cds:-:122146517-122146546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p chr11 segs:1-30 cds:-:122146562-122146591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1a_5p/P2a1_5p/P2a2_5p,42989.0,180398.0,81265.0,235896.0,173584.0,216154.0,231857.0,163615.0,204822.0,42970.0,37625.0,151617.0,97722.0,31260.0,111765.0,46204.0,67562.0,147643.0,72102.0,125897.0,85206.0,71094.0,95960.0,72268.0,153524.0,22536.0,139431.0,138925.0,124508.0,25227.0,99233.0,179053.0,101637.0,56978.0,48170.0,208073.0
Hsa-Let-7-P1b_3p*,2.0,9.0,31.0,89.0,52.0,71.0,23.0,35.0,14.0,32.0,11.0,27.0,8.0,10.0,7.0,21.0,20.0,18.0,37.0,53.0,25.0,42.0,7.0,50.0,37.0,0.0,32.0,23.0,34.0,5.0,44.0,111.0,8.0,0.0,8.0,70.0
Hsa-Let-7-P1b_3p* chr19 segs:1-30 cds:+:51692836-51692865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1b_5p,439.0,4100.0,5149.0,18721.0,6098.0,8079.0,3600.0,6664.0,7653.0,1674.0,1158.0,6379.0,1649.0,476.0,1584.0,2667.0,2165.0,3866.0,2367.0,10354.0,4815.0,6889.0,3565.0,4104.0,7109.0,159.0,5185.0,2794.0,6955.0,985.0,10780.0,16762.0,1301.0,2288.0,1242.0,12093.0
Hsa-Let-7-P1b_5p chr19 segs:1-30 cds:+:51692791-51692820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p*,0.0,0.0,18.0,3.0,7.0,14.0,7.0,13.0,12.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P1c_3p* chr21 segs:1-30 cds:+:16539881-16539910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
